Client_ID,Sales_Rep_ID,Salary,DOB,AUM,Race,Gender,Occupation,Days_with_Bank,Customer_Status,Contacted_Date,Contact_Channel,Appointment Date,Product_Purchased_1,APE,UT_Volume,Product_Status,Date_Closed,Mortage_Amount
C14871,SR022,3889,7/2/1976,"$104,745",Chinese,Male,Student,2549,"Client met, not won",10 Jan 2025,Phone,14 Jan 2025,,,,,,
C03561,SR002,2653,2/15/1964,"$127,116",Chinese,Male,Teacher,486,"Client met, not won",11 Jan 2025,Phone,16 Jan 2025,,,,,,
C07136,SR064,3791,6/27/1965,"$108,745",Chinese,Male,Banker,354,Won - closed,2 Jan 2025,Branch Walk-in,2 Jan 2025,Unit Trust,,83000,Active,2 Jan 2025,
C08555,SR049,5929,10/6/1967,"$67,783",Chinese,Male,Self-Employed,480,"Client met, not won",3 Jan 2025,Phone,7 Jan 2025,,,,,,
C10375,SR070,4965,5/29/1980,"$97,495",Chinese,Female,Manager,257,"Client met, not won",3 Jan 2025,Phone,8 Jan 2025,,,,,,
C02912,SR050,4500,6/17/1983,"$97,053",Chinese,Female,Banker,1326,"Client met, not won",3 Jan 2025,Phone,9 Jan 2025,,,,,,
C11575,SR048,6234,10/17/1960,"$58,638",Other,Female,Banker,1069,Won - closed,2 Jan 2025,Phone,18 Jan 2025,Term Plus,1141,,Active,18 Jan 2025,
C06122,SR074,4194,1/14/1992,"$105,168",Chinese,Male,Student,1012,"Client met, not won",2 Jan 2025,Phone,10 Jan 2025,,,,,,
C02798,SR062,4885,2/2/1991,"$83,746",Chinese,Female,Manager,517,No show,3 Jan 2025,Phone,10 Jan 2025,,,,,,
C05352,SR069,4139,9/19/1995,"$132,039",Chinese,Male,Self-Employed,1104,Won - closed,4 Jan 2025,Phone,3 Jan 2025,Term Plus,368,,Active,3 Jan 2025,
C13142,SR067,4107,12/21/1968,"$83,459",Chinese,Female,Engineer,1641,"Client met, not won",5 Jan 2025,Phone,13 Jan 2025,,,,,,
C02251,SR087,4808,10/27/1983,"$165,206",Chinese,Male,Banker,1081,"Client met, not won",4 Jan 2025,Phone,14 Jan 2025,,,,,,
C07937,SR069,5093,9/8/1976,"$74,623",Indian,Male,Teacher,2460,"Client met, not won",5 Jan 2025,Phone,14 Jan 2025,,,,,,
C09302,SR110,5729,6/1/1979,"$38,069",Chinese,Female,Engineer,1051,No show,6 Jan 2025,Phone,15 Jan 2025,,,,,,
C04547,SR060,6865,12/2/1970,"$94,459",Chinese,Female,Nurse,1156,No show,7 Jan 2025,Phone,15 Jan 2025,,,,,,
C01915,SR083,4454,6/2/1989,"$94,563",Malay,Male,Nurse,1326,"Client met, not won",8 Jan 2025,Phone,16 Jan 2025,,,,,,
C08009,SR085,4326,5/21/1977,"$113,815",Chinese,Male,Student,2360,"Client met, not won",9 Jan 2025,Phone,16 Jan 2025,,,,,,
C14866,SR043,2713,11/15/1981,130245,Malay,Female,Engineer,1701,Not contactable,10 Jan 2025,Phone,,,,,,,
C09836,SR045,4788,5/8/1972,"$111,084",Indian,Female,Accountant,1273,"Client met, not won",11 Jan 2025,Phone,18 Jan 2025,,,,,,
C12880,SR044,4296,1/6/1987,"$113,178",Chinese,Female,Student,1552,"Client met, not won",12 Jan 2025,Phone,18 Jan 2025,,,,,,
C01533,SR090,6033,10/14/1979,"$125,475",Indian,Male,Self-Employed,2290,No show,13 Jan 2025,Phone,19 Jan 2025,,,,,,
C12979,SR027,5189,8/25/1977,"$128,742",Malay,Male,Manager,2473,Won - closed,2 Jan 2025,Phone,4 Jan 2025,Term Plus,1699,,Active,4 Jan 2025,
C00843,SR026,5550,10/7/1980,"$93,046",Chinese,Female,Self-Employed,2664,"Client met, not won",3 Jan 2025,Phone,23 Jan 2025,,,,,,
C02228,SR079,5270,4/3/1995,"$97,444",Malay,Female,Self-Employed,1568,"Client met, not won",4 Jan 2025,Phone,25 Jan 2025,,,,,,
C10936,SR020,5908,9/29/1971,"$128,780",Chinese,Male,Engineer,2577,"Client met, not won",5 Jan 2025,Phone,25 Jan 2025,,,,,,
C12803,SR009,2204,8/4/1969,96953,Chinese,Male,Banker,1069,Not contactable,6 Jan 2025,Phone,,,,,,,
C07423,SR049,5350,11/12/1974,154442,Chinese,Female,Teacher,2299,No show,7 Jan 2025,Phone,28 Jan 2025,,,,,,
C12031,SR017,5455,9/25/1978,121104,Indian,Male,Manager,472,No show,8 Jan 2025,Phone,29 Jan 2025,,,,,,
C10740,SR083,4250,2/24/1984,106340,Malay,Male,Student,356,Not contactable,9 Jan 2025,Phone,,,,,,,
C05390,SR066,4784,9/21/1981,64346,Chinese,Male,Manager,1830,Not contactable,10 Jan 2025,Phone,,,,,,,
C10245,SR049,3463,2/1/1995,"$109,927",Chinese,Female,Manager,1515,Won - closed,4 Jan 2025,Phone,12 Jan 2025,Endowment A,17071,,Active,12 Jan 2025,
C12835,SR046,3490,2/21/1961,"$97,881",Chinese,Female,Engineer,1368,Won - closed,2 Jan 2025,Branch Walk-in,2 Jan 2025,Mortgage,,,Active,2 Jan 2025,734000
C12674,SR056,7896,11/27/1963,67383,Other,Female,Self-Employed,1958,Not contactable,1 Jan 2025,Phone,,,,,,,
C05571,SR026,4242,1/12/1998,"$108,987",Japanese,Female,Banker,1888,Won - closed,2 Jan 2025,Phone,9 Jan 2025,Endowment B,16375,,Freelook,9 Jan 2025,
C11380,SR112,5814,10/23/1977,59734,Chinese,Female,Teacher,81,Rejected,2 Jan 2025,Phone,,,,,,,
C08507,SR098,6441,1/9/1994,111135,Chinese,Female,Engineer,2745,Rejected,3 Jan 2025,Phone,,,,,,,
C00483,SR082,5541,1/12/1966,34846,Chinese,Male,Manager,1847,Not contactable,4 Jan 2025,Phone,,,,,,,
C11084,SR042,5523,12/19/1993,51446,Chinese,Female,Manager,1164,Not contactable,5 Jan 2025,Phone,,,,,,,
C10727,SR017,1495,10/21/1985,76830,Chinese,Male,Manager,1251,Rejected,6 Jan 2025,Phone,,,,,,,
C14387,SR009,6756,5/5/1964,111526,Chinese,Male,Teacher,1747,Not contactable,7 Jan 2025,Phone,,,,,,,
C11577,SR011,4386,4/2/1986,81147,Chinese,Female,Nurse,2710,Rejected,8 Jan 2025,Phone,,,,,,,
C14764,SR098,3276,7/17/1972,108668,Chinese,Female,Student,513,Not contactable,9 Jan 2025,Phone,,,,,,,
C01344,SR073,7004,4/26/1992,103951,Chinese,Female,Banker,1918,Rejected,10 Jan 2025,Phone,,,,,,,
C04654,SR045,6329,7/14/1968,113580,Other,Female,Student,775,Not contactable,11 Jan 2025,Phone,,,,,,,
C10119,SR052,2823,9/2/1982,162039,Chinese,Male,Manager,2503,Rejected,12 Jan 2025,Phone,,,,,,,
C11329,SR061,5857,11/5/1996,93090,Malay,Male,Teacher,89,Rejected,13 Jan 2025,Phone,,,,,,,
C05295,SR088,3997,6/12/1991,115376,Chinese,Male,Teacher,1225,Rejected,14 Jan 2025,Phone,,,,,,,
C06933,SR113,4913,3/10/1989,105055,Indian,Female,Student,543,Rejected,15 Jan 2025,Phone,,,,,,,
C01051,SR042,5873,5/29/1988,55633,Other,Male,Banker,1816,Rejected,16 Jan 2025,Phone,,,,,,,
C08329,SR056,6340,12/31/1987,146853,Chinese,Male,Teacher,2522,Not contactable,17 Jan 2025,Phone,,,,,,,
C00715,SR035,5776,6/17/1996,"$96,990",Chinese,Male,Manager,606,Won - closed,16 Jan 2025,Phone,23 Jan 2025,Endowment B,31331,,Active,23 Jan 2025,
C08250,SR008,6187,5/3/1986,133174,Chinese,Male,Banker,1060,Rejected,2 Jan 2025,Phone,,,,,,,
C00690,SR045,2681,11/16/1981,106362,Chinese,Male,Banker,1763,Rejected,3 Jan 2025,Phone,,,,,,,
C06244,SR037,3797,10/21/1981,138605,Malay,Male,Engineer,489,Not contactable,4 Jan 2025,Phone,,,,,,,
C06806,SR058,8198,2/16/1974,34226,Malay,Male,Nurse,139,Not contactable,5 Jan 2025,Phone,,,,,,,
C12396,SR094,4968,11/24/1972,78649,Chinese,Female,Self-Employed,1278,Not contactable,6 Jan 2025,Phone,,,,,,,
C06820,SR016,1580,9/12/1972,77930,Chinese,Female,Engineer,861,Rejected,7 Jan 2025,Phone,,,,,,,
C07876,SR099,7128,4/20/1988,"$52,780",Chinese,Female,Self-Employed,2379,Won - closed,7 Feb 2025,Branch Walk-in,7 Feb 2025,Mortgage,,,Active,7 Feb 2025,900000
C08065,SR086,5508,8/22/1970,43245,Chinese,Female,Student,661,Rejected,2 Jan 2025,Phone,,,,,,,
C01218,SR021,8079,6/2/1970,86862,Chinese,Female,Engineer,2567,Not contactable,3 Jan 2025,Phone,,,,,,,
C10854,SR104,6439,6/1/1970,140151,Malay,Female,Self-Employed,1220,Not contactable,4 Jan 2025,Phone,,,,,,,
C05415,SR001,6599,10/16/1967,116475,Chinese,Female,Student,1841,Rejected,5 Jan 2025,Phone,,,,,,,
C10550,SR072,5374,6/20/1967,86793,Chinese,Female,Banker,1177,Not contactable,6 Jan 2025,Phone,,,,,,,
C07086,SR029,5839,9/25/1964,64890,Chinese,Male,Teacher,2770,Not contactable,7 Jan 2025,Phone,,,,,,,
C07433,SR023,4881,2/2/1964,89493,Chinese,Male,Banker,431,Not contactable,8 Jan 2025,Phone,,,,,,,
C03041,SR069,4604,12/22/1963,82417,Malay,Male,Student,2497,Not contactable,9 Jan 2025,Phone,,,,,,,
C14010,SR001,6122,8/7/1962,114302,Chinese,Male,Manager,2970,Rejected,10 Jan 2025,Phone,,,,,,,
C00123,SR060,2159,11/20/1961,104731,Chinese,Male,Nurse,120,Not contactable,11 Jan 2025,Phone,,,,,,,
C10170,SR020,3697,5/13/1968,"$91,613",Other,Female,Student,1656,Won - closed,30 May 2025,Branch Walk-in,30 May 2025,Mortgage,,,Active,30 May 2025,1200000
C12040,SR067,6021,5/4/1961,100043,Indian,Female,Manager,779,Not contactable,1 Jan 2025,Phone,,,,,,,
C05312,SR025,2970,8/21/1960,101450,Chinese,Male,Self-Employed,2642,Rejected,1 Jan 2025,Phone,,,,,,,
C11073,SR024,5700,1/3/1960,162930,Chinese,Female,Manager,1600,Rejected,1 Jan 2025,Phone,,,,,,,
C10477,SR083,3683,3/22/1997,"$139,855",Chinese,Male,Engineer,2010,"Client met, not won",2 Jan 2025,Phone,10 Jan 2025,,,,,,
C06852,SR002,6529,1/2/1967,"$83,646",Malay,Male,Nurse,2295,Won - closed,2 Jan 2025,Phone,10 Jan 2025,Unit Trust,,98000,Active,10 Jan 2025,
C06442,SR031,1485,4/27/1996,"$135,724",Chinese,Female,Engineer,1171,"Client met, not won",2 Jan 2025,Phone,13 Jan 2025,,,,,,
C02989,SR117,5416,9/26/1993,89057,Malay,Male,Nurse,2819,No show,2 Jan 2025,Phone,14 Jan 2025,,,,,,
C08688,SR095,7219,6/27/1983,"$70,820",Indian,Male,Banker,296,"Client met, not won",2 Jan 2025,Phone,18 Jan 2025,,,,,,
C06052,SR021,3784,3/31/1997,"$98,497",Chinese,Male,Manager,2445,"Client met, not won",2 Jan 2025,Phone,19 Jan 2025,,,,,,
C09060,SR014,3140,10/19/1983,"$82,950",Chinese,Male,Engineer,506,"Client met, not won",2 Jan 2025,Phone,4 Jan 2025,,,,,,
C04714,SR023,6468,11/15/1988,"$117,841",Chinese,Male,Engineer,2843,"Client met, not won",2 Jan 2025,Phone,9 Jan 2025,,,,,,
C00616,SR108,4257,3/8/1982,"$90,654",Chinese,Male,Manager,1253,"Client met, not won",3 Jan 2025,Phone,9 Jan 2025,,,,,,
C12686,SR076,4537,7/30/1986,"$105,327",Chinese,Female,Nurse,2897,"Client met, not won",2 Jan 2025,Phone,9 Jan 2025,,,,,,
C03124,SR118,5526,6/18/1978,117336,Chinese,Male,Student,1376,No show,2 Jan 2025,Phone,2 Jan 2025,,,,,,
C04041,SR117,3803,2/20/1997,"$77,460",Chinese,Male,Student,1833,"Client met, not won",2 Jan 2025,Phone,9 Jan 2025,,,,,,
C09155,SR036,4624,9/29/1971,"$55,607",Chinese,Female,Student,1192,"Client met, not won",3 Jan 2025,Phone,4 Jan 2025,,,,,,
C02641,SR048,5829,1/13/1993,"$134,006",Chinese,Male,Manager,391,"Client met, not won",1 Jan 2025,Phone,3 Jan 2025,,,,,,
C06074,SR092,4237,3/11/1965,"$108,246",Indian,Male,Nurse,1789,"Client met, not won",2 Jan 2025,Phone,3 Jan 2025,,,,,,
C11772,SR016,3816,9/11/1966,"$146,810",Chinese,Male,Banker,1767,Won - closed,2 Jan 2025,Phone,12 Jan 2025,Unit Trust,,50000,Active,12 Jan 2025,
C03196,SR096,7353,5/7/1966,129679,Chinese,Male,Nurse,2139,No show,2 Jan 2025,Phone,3 Jan 2025,,,,,,
C09516,SR041,5620,9/8/1993,66638,Chinese,Male,Manager,301,No show,2 Jan 2025,Phone,3 Jan 2025,,,,,,
C01778,SR030,5961,6/9/1963,"$107,065",Chinese,Male,Banker,1628,"Client met, not won",2 Jan 2025,Phone,3 Jan 2025,,,,,,
C08772,SR052,3723,12/12/1976,"$44,021",Chinese,Male,Self-Employed,140,"Client met, not won",2 Jan 2025,Phone,3 Jan 2025,,,,,,
C11483,SR015,7387,12/27/1989,"$138,515",Indian,Female,Engineer,402,"Client met, not won",2 Jan 2025,Phone,3 Jan 2025,,,,,,
C02358,SR034,4473,5/1/1972,"$103,391",Chinese,Male,Manager,1177,"Client met, not won",2 Jan 2025,Phone,4 Jan 2025,,,,,,
C01058,SR097,3100,1/22/1981,95392,Chinese,Male,Manager,170,No show,2 Jan 2025,Phone,4 Jan 2025,,,,,,
C12760,SR064,3058,8/11/1995,"$165,389",Chinese,Female,Banker,323,"Client met, not won",2 Jan 2025,Phone,5 Jan 2025,,,,,,
C07222,SR120,4650,11/15/1974,"$122,092",Chinese,Female,Self-Employed,2890,No show,2 Jan 2025,Phone,6 Jan 2025,,,,,,
C06171,SR118,4807,7/13/1964,142246,Chinese,Male,Manager,208,No show,2 Jan 2025,Phone,7 Jan 2025,,,,,,
C05972,SR056,2571,3/23/1991,"$159,429",Chinese,Male,Nurse,667,No show,2 Jan 2025,Phone,8 Jan 2025,,,,,,
C01356,SR075,4449,7/1/1980,"$45,846",Chinese,Female,Banker,773,"Client met, not won",2 Jan 2025,Phone,8 Jan 2025,,,,,,
C01965,SR038,4862,9/16/1995,132234,Chinese,Female,Banker,1214,No show,2 Jan 2025,Phone,8 Jan 2025,,,,,,
C04941,SR040,4262,7/27/1996,"$69,337",Malay,Female,Manager,1839,"Client met, not won",2 Jan 2025,Phone,9 Jan 2025,,,,,,
C02973,SR061,2681,3/18/1972,"$101,506",Indian,Female,Engineer,2680,"Client met, not won",2 Jan 2025,Phone,9 Jan 2025,,,,,,
C14821,SR020,3466,1/7/1992,"$76,704",Chinese,Male,Engineer,362,"Client met, not won",2 Jan 2025,Phone,9 Jan 2025,,,,,,
C13360,SR115,5576,2/19/1981,155049,Chinese,Female,Teacher,1429,No show,2 Jan 2025,Phone,10 Jan 2025,,,,,,
C10028,SR026,6379,2/7/1974,"$123,622",Chinese,Female,Teacher,566,"Client met, not won",2 Jan 2025,Phone,11 Jan 2025,,,,,,
C03712,SR046,6510,7/16/1972,"$101,837",Chinese,Female,Self-Employed,1643,"Client met, not won",2 Jan 2025,Phone,11 Jan 2025,,,,,,
C03983,SR029,4952,6/14/1964,88775,Chinese,Male,Engineer,1705,No show,2 Jan 2025,Phone,11 Jan 2025,,,,,,
C09251,SR040,4957,4/15/1996,"$103,222",Malay,Male,Self-Employed,2670,"Client met, not won",2 Jan 2025,Phone,12 Jan 2025,,,,,,
C05206,SR027,5007,7/17/1996,114459,Chinese,Male,Banker,2468,Not contactable,2 Jan 2025,Phone,,,,,,,
C09242,SR027,3555,4/11/1995,93697,Other,Female,Nurse,2952,Rejected,2 Jan 2025,Phone,,,,,,,
C03391,SR092,3633,3/19/1978,121221,Indian,Female,Engineer,980,Not contactable,2 Jan 2025,Phone,,,,,,,
C12039,SR084,6477,9/26/1968,"$92,519",Chinese,Male,Self-Employed,516,"Client met, not won",2 Jan 2025,Phone,18 Jan 2025,,,,,,
C06731,SR066,3368,12/13/1994,"$52,260",Chinese,Female,Manager,1998,"Client met, not won",2 Jan 2025,Phone,19 Jan 2025,,,,,,
C03484,SR004,6004,9/12/1973,"$129,478",Chinese,Male,Student,220,"Client met, not won",2 Jan 2025,Phone,21 Jan 2025,,,,,,
C05268,SR052,3847,8/21/1968,"$96,049",Chinese,Male,Engineer,1926,Won - closed,2 Jan 2025,Phone,5 Jan 2025,ILP Alpha,34175,,Active,5 Jan 2025,
C01247,SR097,5119,7/6/1980,"$91,748",Chinese,Male,Student,2237,Won - closed,2 Jan 2025,Phone,4 Jan 2025,Term Plus,1141,,Active,4 Jan 2025,
C04699,SR111,2749,5/10/1964,91066,Chinese,Female,Student,944,No show,23 Jan 2025,Branch Walk-in,23 Jan 2025,,,,,,
C05212,SR064,6780,1/10/1975,"$76,784",Chinese,Female,Engineer,1119,"Client met, not won",24 Jan 2025,Branch Walk-in,24 Jan 2025,,,,,,
C14125,SR035,5516,12/10/1968,"$88,454",Chinese,Female,Engineer,227,"Client met, not won",25 Jan 2025,Branch Walk-in,25 Jan 2025,,,,,,
C12823,SR101,6629,7/24/1996,111001,Malay,Female,Engineer,473,Not contactable,2 Jan 2025,Phone,,,,,,,
C13896,SR112,6501,5/10/1971,"$80,521",Chinese,Female,Self-Employed,1701,No show,2 Jan 2025,Phone,25 Jan 2025,,,,,,
C03886,SR011,3944,6/3/1986,"$62,569",Malay,Male,Engineer,2478,"Client met, not won",2 Jan 2025,Phone,25 Jan 2025,,,,,,
C00502,SR013,7011,4/11/1988,"$146,202",Chinese,Female,Manager,2073,"Client met, not won",2 Jan 2025,Phone,28 Jan 2025,,,,,,
C00112,SR082,4383,10/18/1995,71462,Chinese,Male,Nurse,1198,No show,2 Jan 2025,Phone,28 Jan 2025,,,,,,
C08896,SR086,6822,6/3/1980,126471,Indian,Male,Engineer,1517,Rejected,2 Jan 2025,Phone,,,,,,,
C09459,SR065,6322,9/3/1961,"$104,592",Indian,Male,Self-Employed,1803,"Client met, not won",2 Jan 2025,Phone,31 Jan 2025,,,,,,
C01979,SR056,8061,5/9/1983,"$72,706",Chinese,Female,Self-Employed,37,"Client met, not won",2 Jan 2025,Phone,31 Jan 2025,,,,,,
C02879,SR022,3351,8/30/1976,"$10,901",Chinese,Male,Nurse,348,Won - closed,2 Jan 2025,Phone,6 Jan 2025,Term Plus,3635,,Active,6 Jan 2025,
C14616,SR071,4806,10/9/1970,96646,Chinese,Male,Self-Employed,657,Not contactable,2 Jan 2025,Phone,,,,,,,
C04829,SR119,3634,12/13/1965,83229,Other,Female,Engineer,2110,Rejected,2 Jan 2025,Phone,,,,,,,
C00857,SR004,5157,3/2/1980,"$46,587",Chinese,Male,Student,2945,Won - closed,2 Jan 2025,Phone,2 Jan 2025,ILP Beta,30786,,Active,2 Jan 2025,
C02188,SR108,7950,7/3/1965,79173,Chinese,Female,Student,154,Rejected,2 Jan 2025,Phone,,,,,,,
C05749,SR117,6283,1/13/1986,80274,Chinese,Female,Self-Employed,1040,Not contactable,2 Jan 2025,Phone,,,,,,,
C10544,SR118,3052,5/6/1968,56995,Chinese,Female,Banker,1307,Not contactable,2 Jan 2025,Phone,,,,,,,
C09201,SR071,6551,9/20/1996,100989,Chinese,Female,Teacher,794,Not contactable,2 Jan 2025,Phone,,,,,,,
C13203,SR052,2339,10/11/1993,120114,Chinese,Male,Teacher,1295,Rejected,2 Jan 2025,Phone,,,,,,,
C04643,SR103,8784,8/6/1992,126759,Chinese,Male,Nurse,2437,Not contactable,2 Jan 2025,Phone,,,,,,,
C01358,SR029,5826,5/29/1990,108187,Malay,Female,Manager,2353,Not contactable,2 Jan 2025,Phone,,,,,,,
C02852,SR082,4770,10/5/1989,138416,Chinese,Male,Teacher,782,Not contactable,2 Jan 2025,Phone,,,,,,,
C02925,SR022,5492,3/8/1986,92888,Indian,Male,Student,1309,Rejected,2 Jan 2025,Phone,,,,,,,
C03599,SR017,6796,2/27/1986,108784,Chinese,Male,Student,1110,Not contactable,2 Jan 2025,Phone,,,,,,,
C00567,SR101,5297,6/26/1984,117869,Chinese,Female,Self-Employed,1432,Rejected,2 Jan 2025,Phone,,,,,,,
C00358,SR099,5992,12/8/1983,41136,Chinese,Female,Banker,577,Not contactable,2 Jan 2025,Phone,,,,,,,
C06543,SR007,3507,3/14/1978,112551,Chinese,Male,Banker,2781,Not contactable,2 Jan 2025,Phone,,,,,,,
C12841,SR071,5128,12/4/1975,85771,Chinese,Female,Self-Employed,1734,Rejected,2 Jan 2025,Phone,,,,,,,
C11366,SR079,4601,5/20/1974,69013,Chinese,Male,Manager,256,Not contactable,2 Jan 2025,Phone,,,,,,,
C03580,SR025,2229,9/17/1970,92840,Chinese,Female,Engineer,1139,Not contactable,2 Jan 2025,Phone,,,,,,,
C01106,SR010,7680,8/17/1966,100466,Malay,Male,Banker,1226,Rejected,2 Jan 2025,Phone,,,,,,,
C02190,SR055,5641,8/6/1966,115878,Chinese,Male,Engineer,326,Rejected,2 Jan 2025,Phone,,,,,,,
C04045,SR042,4342,6/21/1965,102306,Chinese,Male,Banker,829,Rejected,2 Jan 2025,Phone,,,,,,,
C04186,SR071,4299,9/28/1962,68333,Other,Male,Banker,2094,Not contactable,2 Jan 2025,Phone,,,,,,,
C03614,SR055,6739,2/22/1962,125699,Chinese,Male,Self-Employed,2437,Not contactable,2 Jan 2025,Phone,,,,,,,
C06672,SR064,6576,1/5/1961,23446,Chinese,Male,Banker,2057,Not contactable,2 Jan 2025,Phone,,,,,,,
C03819,SR053,4061,8/5/1985,"$79,066",Chinese,Male,Self-Employed,2428,Won - closed,23 Jun 2025,Branch Walk-in,23 Jun 2025,Mortgage,,,Active,23 Jun 2025,430000
C09883,SR102,7717,2/10/1990,"$149,422",Malay,Male,Student,38,Won - closed,25 Jun 2025,Branch Walk-in,25 Jun 2025,Mortgage,,,Active,25 Jun 2025,1200000
C00156,SR103,6269,12/10/1993,"$68,000",Chinese,Female,Manager,1177,"Client met, not won",18 Jan 2025,Branch Walk-in,18 Jan 2025,,,,,,
C14625,SR084,5675,4/24/1990,"$139,060",Chinese,Female,Student,177,"Client met, not won",18 Jan 2025,Branch Walk-in,18 Jan 2025,,,,,,
C03695,SR097,4223,4/8/1982,"$78,426",Malay,Female,Manager,2121,"Client met, not won",18 Jan 2025,Branch Walk-in,18 Jan 2025,,,,,,
C14153,SR025,3889,3/26/1962,"$89,587",Chinese,Male,Teacher,2037,"Client met, not won",3 Jan 2025,Phone,18 Jan 2025,,,,,,
C04118,SR064,4569,5/12/1963,"$75,872",Malay,Male,Student,2390,"Client met, not won",3 Jan 2025,Phone,18 Jan 2025,,,,,,
C07385,SR108,6698,7/7/1978,"$99,405",Chinese,Female,Teacher,596,Won - closed,3 Jan 2025,Phone,5 Jan 2025,Unit Trust,,80000,Active,5 Jan 2025,
C04754,SR104,6490,6/14/1995,"$76,538",Chinese,Female,Student,1071,Won - closed,3 Jan 2025,Phone,26 Jan 2025,Unit Trust,,84000,Active,26 Jan 2025,
C09196,SR038,6849,10/31/1997,94062,Chinese,Male,Teacher,2567,No show,3 Jan 2025,Phone,3 Jan 2025,,,,,,
C01431,SR083,1583,1/13/1969,"$84,037",Chinese,Female,Self-Employed,2049,No show,3 Jan 2025,Phone,3 Jan 2025,,,,,,
C04085,SR067,7175,8/25/1995,104914,Chinese,Female,Nurse,2398,No show,3 Jan 2025,Phone,3 Jan 2025,,,,,,
C01707,SR075,5925,7/22/1974,"$135,410",Chinese,Male,Nurse,339,"Client met, not won",2 Jan 2025,Phone,3 Jan 2025,,,,,,
C10293,SR065,3535,10/29/1995,"$145,628",Chinese,Male,Banker,2547,"Client met, not won",2 Jan 2025,Phone,3 Jan 2025,,,,,,
C00919,SR043,5564,10/27/1986,"$91,250",Indian,Male,Banker,2950,Won - closed,3 Jan 2025,Phone,18 Jan 2025,Unit Trust,,30000,Active,18 Jan 2025,
C12472,SR097,4818,7/20/1984,"$99,023",Malay,Female,Self-Employed,627,"Client met, not won",3 Jan 2025,Phone,5 Jan 2025,,,,,,
